row_id,car_name,mileage,price,type,category,quantity,sales,order_date,profit,country,ship_date,state,region,discount
1,Nissan Altima,234,2513259,Petrol,Sedan,23,46243965,2024-10-20,10179686.06,USA,2024-11-18,Kansas,North,24.28
2,Nissan Altima,491,1075209,EV,Sedan,11,4730919,2020-05-20,756682.09,USA,2024-02-02,Ohio,West,4.83
3,Ford Mustang,396,2762193,EV,Coupe,10,13810968,2019-05-18,2625645.72,USA,2024-09-19,Minnesota,North,21.43
4,Nissan Altima,599,490433,Petrol,Sedan,7,1373212,2021-02-07,282625.94,USA,2023-05-21,Nebraska,West,5.07
5,Honda Civic,309,14363842,Petrol,Sedan,16,114910736,2020-04-26,28243320.36,USA,2024-04-08,Connecticut,North,1.72
6,Tesla Model S,590,12583564,Diesel,Sedan,25,200193070,2023-10-01,38026362.61,USA,2024-08-24,North Dakota,South,2.77
7,Nissan Altima,138,10479112,EV,Sedan,2,8383289,2020-11-15,961830.26,USA,2021-11-27,Oklahoma,West,8.25
8,Tesla Model S,154,3610791,Petrol,Sedan,15,17233324,2020-02-11,4297415.15,USA,2022-03-19,Nevada,West,17.95
9,Ford Mustang,320,15835813,EV,Coupe,17,67302206,2021-10-05,16703594.69,USA,2023-01-21,Connecticut,West,10.65
10,Audi Q7,249,16915820,Petrol,SUV,16,42289552,2020-01-17,5853658.08,USA,2021-08-31,New Hampshire,East,17.27
11,Nissan Altima,362,5264717,EV,Sedan,12,50541283,2018-11-26,6742502.2,USA,2020-02-07,Oregon,North,23.04
12,Chevrolet Silverado,404,13053629,EV,Pickup Truck,6,104429037,2022-05-18,14212707.43,USA,2023-01-10,Ohio,North,21.37
13,Chevrolet Silverado,278,8930738,Petrol,Pickup Truck,12,142891819,2022-12-23,9421147.01,USA,2024-08-08,Washington,South,24.55
14,Ford Mustang,175,3458906,Diesel,Coupe,22,19023985,2020-08-29,1871812.59,USA,2023-05-15,Iowa,West,6.81
15,Nissan Altima,441,7423224,Diesel,Sedan,17,100955846,2019-09-25,10053661.38,USA,2022-03-24,New York,South,5.8
16,Hyundai Sonata,385,9173137,EV,Sedan,21,154108701,2019-09-14,35101483.34,USA,2022-09-16,Maryland,East,19.99
17,BMW 3 Series,453,15180423,Diesel,Sedan,11,66793861,2022-02-07,4991442.05,USA,2023-12-03,Wisconsin,South,13.7
18,BMW 3 Series,501,2932278,Petrol,Sedan,3,3518733,2024-08-03,279840.72,USA,2024-11-29,Indiana,North,14.69
19,Ford Mustang,163,9940534,Petrol,Coupe,8,39762139,2022-08-23,5714287.47,USA,2023-02-23,Mississippi,North,24.13
20,Audi Q7,190,4667302,Petrol,SUV,5,7292660,2022-02-05,554905.73,USA,2023-10-11,New Hampshire,North,0.38
21,Ford F-150,522,12909339,Petrol,Pickup Truck,20,387280170,2023-06-23,48820481.9,USA,2024-02-22,Maine,East,14.58
22,Toyota Corolla,202,11911089,EV,Sedan,1,11911089,2022-05-31,820792.74,USA,2023-02-15,Arkansas,East,13.57
23,Toyota Corolla,599,5521583,Diesel,Sedan,7,38651081,2019-11-06,7807948.33,USA,2021-09-19,Wisconsin,West,20.02
24,Hyundai Sonata,289,218939,Petrol,Sedan,11,1926663,2022-12-06,287699.95,USA,2023-03-10,Tennessee,East,0.29
25,Audi Q7,465,1915097,Diesel,SUV,16,9575488,2022-03-31,785687.85,USA,2022-08-03,Illinois,South,14.48
26,BMW 3 Series,502,8463183,Diesel,Sedan,10,16926366,2020-10-20,1983432.26,USA,2024-01-20,Missouri,North,21.95
27,Ford F-150,522,10524431,Diesel,Pickup Truck,17,268372990,2023-08-17,60578139.23,USA,2024-04-22,Nebraska,East,2.2
28,Honda Civic,231,11353040,EV,Sedan,25,283826000,2024-01-28,20942476.21,USA,2024-10-11,Montana,South,3.88
29,Honda Civic,144,11925021,Diesel,Sedan,2,11925021,2020-08-08,1430298.95,USA,2020-10-31,Vermont,West,5.74
30,Honda Civic,518,10368694,EV,Sedan,9,93318246,2022-03-15,8984388.44,USA,2022-07-13,North Carolina,North,15.25
